target_id,target_chembl_id,uniprot_id,assay_variant_mutation,molecule_chembl_id,all_molecule_chembl_ids,parent_molecule_chembl_id,molecule_pref_name,canonical_smiles,inchikey,activity_type,best_value_nm,median_value_nm,max_pchembl_value,measurement_count,assay_chembl_ids,document_chembl_ids,molecular_weight,clogp,tpsa,hbd,hba,rotatable_bonds,qed,source,source_url,retrieved_at
EGFR,CHEMBL203,P00533,C797S,CHEMBL5633067,CHEMBL5633067,CHEMBL5633067,,COCCOc1cc2ncnc(Nc3cccc(OS(=O)(=O)F)c3)c2cc1OCCOC,DFSDQJWWAXBBHO-UHFFFAOYSA-N,IC50,0.25,0.25,9.6,1,CHEMBL5626877,CHEMBL5625196,467.475,3.017,118.1,1,10,12,0.3145,ChEMBL,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL5633067,2026-07-09T09:02:48.984719+00:00
EGFR,CHEMBL203,P00533,C797S,CHEMBL4297865,CHEMBL4297865,CHEMBL4297865,ABIVERTINIB,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)c1,UOFYSRZSLXWIQB-UHFFFAOYSA-N,IC50,0.58,0.58,9.24,1,CHEMBL4829488,CHEMBL4828722,487.539,4.509,98.41,3,7,7,0.3301,ChEMBL,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL4297865,2026-07-09T09:02:48.984719+00:00
EGFR,CHEMBL203,P00533,C797S,CHEMBL4847264,CHEMBL4847264,CHEMBL4847264,,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(N)c3)nc3[nH]ccc23)c1,LWZHQZHKOWYTJH-UHFFFAOYSA-N,IC50,0.76,0.76,9.12,1,CHEMBL4829488,CHEMBL4828722,484.564,3.952,124.43,4,8,7,0.2296,ChEMBL,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL4847264,2026-07-09T09:02:48.984719+00:00
EGFR,CHEMBL203,P00533,C797S,CHEMBL553,CHEMBL553,CHEMBL553,ERLOTINIB,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,AAKJLRGGTJKAMG-UHFFFAOYSA-N,IC50,0.75,0.75,9.12,1,CHEMBL5626877,CHEMBL5625196,393.443,3.405,74.73,1,7,10,0.4179,ChEMBL,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL553,2026-07-09T09:02:48.984719+00:00
EGFR,CHEMBL203,P00533,C797S,CHEMBL4850239,CHEMBL4850239,CHEMBL4850239,,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c([N+](=O)[O-])c3)nc3[nH]ccc23)c1,OQKZCHBURWTIEB-UHFFFAOYSA-N,IC50,1.2,1.2,8.92,1,CHEMBL4829488,CHEMBL4828722,514.546,4.278,141.55,3,9,8,0.1784,ChEMBL,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL4850239,2026-07-09T09:02:48.984719+00:00
EGFR,CHEMBL203,P00533,"C797S,L858R",CHEMBL5270693,CHEMBL5270693,CHEMBL5270693,,COc1cc(N2CCC(N(C)C)CC2)ccc1Nc1ncc(C(=O)Oc2ccccc2)c(-c2c[nH]c3ccccc23)n1,PTQTXSUYGYJJKM-UHFFFAOYSA-N,IC50,0.02,0.02,10.7,1,CHEMBL5260457,CHEMBL5257147,562.674,6.127,95.61,2,8,8,0.1724,ChEMBL,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL5270693,2026-07-09T09:02:48.984719+00:00
EGFR,CHEMBL203,P00533,"C797S,L858R",CHEMBL553,CHEMBL553,CHEMBL553,ERLOTINIB,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,AAKJLRGGTJKAMG-UHFFFAOYSA-N,IC50,0.059,0.059,10.23,1,CHEMBL5260457,CHEMBL5257147,393.443,3.405,74.73,1,7,10,0.4179,ChEMBL,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL553,2026-07-09T09:02:48.984719+00:00
EGFR,CHEMBL203,P00533,"C797S,L858R",CHEMBL5284924,CHEMBL5284924,CHEMBL5284924,,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(C(=O)Oc2ccccc2)c(-c2cn(C)c3ccccc23)n1,JWXHBFDMXKXVLZ-UHFFFAOYSA-N,IC50,0.064,0.064,10.19,1,CHEMBL5260457,CHEMBL5257147,548.647,5.359,84.75,1,8,7,0.2151,ChEMBL,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL5284924,2026-07-09T09:02:48.984719+00:00
EGFR,CHEMBL203,P00533,"C797S,L858R",CHEMBL5285052,CHEMBL5285052,CHEMBL5285052,,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(C(=O)Oc2ccc(F)cc2)c(-c2cn(C)c3ccccc23)n1,SDHREFOYUVJXGW-UHFFFAOYSA-N,IC50,0.15,0.15,9.82,1,CHEMBL5260457,CHEMBL5257147,566.637,5.498,84.75,1,8,7,0.2044,ChEMBL,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL5285052,2026-07-09T09:02:48.984719+00:00
EGFR,CHEMBL203,P00533,"C797S,L858R",CHEMBL5289859,CHEMBL5289859,CHEMBL5289859,,COc1cc(N2CCC(N(C)C)CC2)ccc1Nc1ncc(C(=O)OC(C)C)c(-c2c[nH]c3ccccc23)n1,PSTYPEHMIDKSSQ-UHFFFAOYSA-N,IC50,0.32,0.32,9.49,1,CHEMBL5260457,CHEMBL5257147,528.657,5.473,95.61,2,8,8,0.2907,ChEMBL,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL5289859,2026-07-09T09:02:48.984719+00:00
